1 608
2 413
3 469
4 223
5 114
6 349
7 316
8 461
9 227
10 461
11 457
12 597
13 745
14 304
15 567
16 335
17 441
18 309
19 554
20 314
21 369
22 155
23 238
24 304
25 329
26 691
27 339
28 315
29 136
30 132
31 101
32 317
33 550
34 156
35 329
36 310
37 113
38 330
39 137
40 527
41 379
42 119
43 317
44 109
45 500
46 570
47 247
48 575
49 323
50 114
51 492
52 792
53 564
54 320
55 195
56 739
57 698
58 317
59 210
60 900
61 320
62 408
63 594
64 601
65 125
66 181
67 1073
68 909
69 178
70 673
71 133
72 1146
73 133
74 313
75 614
76 241
77 153
78 135
79 93
80 399
81 242
82 331
83 859
84 101
85 110
86 593
87 539
88 180
89 619
90 1194
91 141
92 505
93 82
94 555
95 131
96 141
97 103
98 96
99 95
100 1253
101 70
102 1190
103 1869
104 1968
