0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,0,2,1,4,1,2,1,1,1,3,2,0,2,0,0,0,1,42,21
39,49,42,55,15,37,15,25,37,28,27,29,25,32,22,29,48,44,69,24,31
69,97,138,111,135,100,87,101,76,65,105,99,104,133,114,104,121,89,143,87,140
252,323,227,429,288,349,349,296,217,294,289,302,219,276,267,261,174,253,270,274,214
533,362,391,547,660,511,699,588,544,443,430,360,525,386,357,392,317,379,329,298,337
531,643,839,835,601,888,791,817,639,716,636,504,571,575,439,579,506,536,420,522,442
818,905,870,994,1031,1141,1290,1395,1287,1237,1343,1180,1193,1063,1014,934,815,969,699,832,873
578,569,586,694,656,795,718,834,845,905,896,711,965,873,1037,1075,946,884,645,816,837
501,497,513,573,572,530,461,583,573,663,853,643,736,749,876,629,748,674,710,683,540
338,338,327,352,418,305,472,374,404,573,403,488,579,677,440,663,442,366,394,404,507
253,277,247,288,270,238,222,240,309,290,257,304,330,300,295,294,354,371,259,432,215
113,158,139,146,136,113,149,159,146,132,203,154,169,184,198,246,164,185,132,192,222
36,30,32,30,54,37,35,39,43,28,23,40,59,25,34,56,60,21,66,55,64
4,2,3,6,4,3,7,1,2,3,3,4,1,0,8,3,3,0,1,2,2
1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
